grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Sarajevo - Stari Grad,57,4,2,centralno,0,0,0,2,342000
Sarajevo - Novi Grad,33,5,0,centralno,1,1,1,1,198000
Sarajevo - Novo Sarajevo,55.35,2,2,centralno,1,0,0,2,325000
Ilidža,42,6,2,ostalo,1,0,1,2,243600
Ilidža,42,2,1.5,struja,1,1,1,2,242960
Sarajevo - Stari Grad,65,2,2,centralno,0,0,0,2,375000
Sarajevo - Novo Sarajevo,61,20+,2,centralno,0,0,0,2,350000
Sarajevo - Novo Sarajevo,61,20+,2,centralno,1,0,0,2,349000
Sarajevo - Novo Sarajevo,62,20+,2,centralno,1,0,1,0,350000
Sarajevo - Stari Grad,32,1,2,struja,0,0,0,2,180000
Sarajevo - Centar,43,2,2,centralno,1,1,1,2,240000
Sarajevo - Centar,59,4,2,centralno,0,1,0,2,329000
Sarajevo - Novo Sarajevo,48,3,2,centralno,1,1,1,2,265000
Sarajevo - Novo Sarajevo,44,2,3,centralno,0,1,0,2,242000
Sarajevo - Novi Grad,38,3,2,centralno,1,0,1,2,209000
Sarajevo - Stari Grad,71,3,četverosoban,struja,1,1,0,0,390000
Sarajevo - Novi Grad,42,1,2,centralno,1,1,1,1,230000
Sarajevo - Centar,40,4,2,centralno,0,1,0,2,219000
Sarajevo - Centar,64,3,3,centralno,0,1,0,2,350000
Sarajevo - Centar,64,5,2,centralno,1,0,0,2,350000
Sarajevo - Centar,73,1,3,plin,0,1,0,1,399000
Sarajevo - Novi Grad,45,1,2,centralno,1,1,1,2,245000
Sarajevo - Novo Sarajevo,36,prizemlje,1,struja,0,1,1,0,195000
Sarajevo - Centar,73,4,3,centralno,0,1,0,2,395000
Sarajevo - Novi Grad,61,20+,2,centralno,0,0,1,2,330000
Sarajevo - Centar,37,visoko,1.5,centralno,0,0,0,2,200000
Sarajevo - Centar,59,3,3,plin,0,0,0,2,318000
Sarajevo - Stari Grad,65,3,3,struja,0,1,0,2,350000
Sarajevo - Stari Grad,65,2,2,plin,0,0,0,2,350000
Sarajevo - Novi Grad,52,3,3,plin,0,1,0,2,280000
Sarajevo - Stari Grad,67,2,četverosoban,centralno,0,1,0,1,360000
Sarajevo - Stari Grad,69,2,2,struja,0,0,0,2,370000
Sarajevo - Novi Grad,56,3,2,centralno,1,1,1,2,300000
Sarajevo - Centar,63,2,3,centralno,1,1,0,2,335000
Sarajevo - Novo Sarajevo,34,3,2,plin,1,0,1,0,180500
Sarajevo - Novi Grad,49,13,2,centralno,1,0,1,2,260000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,2,359500
Sarajevo - Novo Sarajevo,54,1,2,centralno,0,1,0,2,285000
Sarajevo - Stari Grad,74,2,3,centralno,0,1,0,2,390000
Sarajevo - Novi Grad,57,3,3,plin,1,1,1,2,300000
Sarajevo - Novo Sarajevo,57,12,četverosoban,centralno,1,0,0,2,299000
Sarajevo - Novi Grad,45,3,2,centralno,1,0,0,2,235000
Sarajevo - Centar,72,1,3,centralno,0,1,0,0,375000
Sarajevo - Centar,51,1,2,centralno,1,1,0,1,265000
Sarajevo - Centar,51,1,2,centralno,0,1,0,2,265000
Sarajevo - Centar,51,1,2,centralno,0,1,0,1,265000
Sarajevo - Centar,51,1,2,plin,0,1,0,2,265000
Sarajevo - Stari Grad,52,1,2,plin,0,0,0,2,270000
Sarajevo - Stari Grad,64,2,3,struja,0,1,0,1,330000
Sarajevo - Stari Grad,67,1,3,centralno,0,1,0,0,345000
Ilidža,46.09,9,1,centralno,1,0,1,0,237271
Sarajevo - Stari Grad,68,1,3,centralno,0,1,0,0,350000
Sarajevo - Stari Grad,68,1,3,plin,0,0,0,0,350000
Ilidža,72,5,3,centralno,1,0,0,2,370000
Sarajevo - Stari Grad,78,2,3,centralno,1,1,0,2,399900
Sarajevo - Novi Grad,68,4,3,centralno,1,0,1,2,348000
Sarajevo - Centar,50,3,2,centralno,0,0,0,1,255000
Sarajevo - Novi Grad,49.02,13,2,centralno,1,1,1,2,249999
Sarajevo - Centar,52,1,2,centralno,0,0,0,2,265000
Sarajevo - Centar,63,1,2,centralno,0,1,0,1,320000
Ilidža,51.3,7,2,centralno,1,1,0,2,260000
Ilidža,44.5,9,2,centralno,1,0,1,2,225000
Ilidža,46.4,8,0,struja,1,1,1,0,233438
Sarajevo - Centar,78,prizemlje,3,ostalo,0,0,1,0,391000
Sarajevo - Centar,78,visoko,3,ostalo,1,1,1,0,391000
Sarajevo - Novo Sarajevo,68.62,11,1.5,centralno,1,0,1,0,343100
Sarajevo - Novo Sarajevo,68,5,3,centralno,1,1,0,1,340000
Sarajevo - Novo Sarajevo,64,16,2,centralno,1,0,1,0,320000
Sarajevo - Centar,64,4,3,centralno,0,0,0,2,320000
Sarajevo - Centar,52,prizemlje,2,centralno,0,1,0,2,260000
Sarajevo - Novi Grad,49,3,2,centralno,1,1,0,2,245000
Sarajevo - Centar,34,1,1.5,plin,0,0,0,2,170000
Sarajevo - Novo Sarajevo,72,11,3,centralno,1,0,1,0,359950
Sarajevo - Novi Grad,47,8,1.5,ostalo,1,1,1,0,233438
Sarajevo - Centar,77,5,3,centralno,0,1,0,2,380000
Sarajevo - Stari Grad,38,prizemlje,3,ostalo,0,0,0,0,187000
Sarajevo - Centar,61,prizemlje,3,centralno,1,1,0,2,300000
Sarajevo - Novo Sarajevo,61,9,2,centralno,1,1,0,1,300000
Ilidža,60,5,3,centralno,1,0,1,2,295000
Sarajevo - Centar,71,5,3,centralno,1,1,0,2,349000
Sarajevo - Novo Sarajevo,52,2,2,struja,0,1,0,2,255000
Sarajevo - Novi Grad,50,4,3,centralno,1,1,1,2,245000
Sarajevo - Centar,49,1,2,plin,0,0,0,2,240000
Sarajevo - Novo Sarajevo,55,1,2,plin,0,1,0,2,268000
Sarajevo - Centar,55,1,2,plin,0,1,0,2,268000
Sarajevo - Stari Grad,46,1,3,centralno,0,0,0,2,224000
Sarajevo - Stari Grad,66,4,3,plin,0,0,0,2,320000
Sarajevo - Stari Grad,64,prizemlje,3,struja,0,0,0,2,309000
Sarajevo - Centar,55,1,2,plin,0,1,0,2,265000
Sarajevo - Centar,55,1,2,plin,0,1,0,2,265000
Ilidža,52,6,2,centralno,1,1,0,2,250000
Sarajevo - Stari Grad,62.5,1,3,plin,0,1,0,2,300000
Sarajevo - Novo Sarajevo,50,1,2,struja,0,0,0,2,240000
Sarajevo - Centar,35,visoko,0,plin,0,0,1,0,168000
Sarajevo - Centar,82,3,3,centralno,1,1,0,0,390000
Sarajevo - Centar,63,2,3,plin,1,1,0,2,299000
Sarajevo - Novi Grad,59,2,3,centralno,1,1,0,2,280000
Ilidža,51.25,5,2,centralno,1,1,1,2,243150
Ilidža,76,2,3,centralno,1,1,0,2,360000
Sarajevo - Centar,73.94,1,3,plin,0,0,0,1,350000
Sarajevo - Stari Grad,74,3,3,plin,0,1,0,2,350000
Sarajevo - Centar,74,1,3,plin,0,1,0,1,350000
Sarajevo - Novi Grad,74,10,3,centralno,1,1,0,2,350000
Sarajevo - Centar,74,1,3,plin,0,0,0,1,350000
Ilidža,55,7,3,centralno,1,0,1,2,260000
Sarajevo - Centar,72,5,četverosoban,struja,0,0,0,0,340000
Sarajevo - Novo Sarajevo,68,5,3,centralno,1,0,0,0,320000
Sarajevo - Centar,79,2,3,centralno,0,1,0,2,371500
Sarajevo - Centar,56,1,3,centralno,0,1,1,0,263200
Sarajevo - Novi Grad,40,9,1,centralno,1,0,1,2,188000
Ilidža,51,3,3,centralno,1,0,1,2,239500
Sarajevo - Stari Grad,81,3,3,centralno,0,1,0,0,380000
Sarajevo - Novo Sarajevo,48,1,2,struja,1,1,0,2,225000
Sarajevo - Stari Grad,48,1,3,centralno,0,1,0,2,225000
Sarajevo - Centar,32,10,1,centralno,1,0,0,2,150000
Sarajevo - Centar,79,4,3,centralno,0,1,0,1,370000
Ilidža,47,5,2,plin,1,1,0,2,220000
Sarajevo - Centar,46,prizemlje,3,struja,0,1,0,2,215000
Sarajevo - Centar,61,3,3,ostalo,0,0,0,0,284999
Sarajevo - Novo Sarajevo,85,1,3,centralno,1,1,0,2,397000
Sarajevo - Novi Grad,75,5,četverosoban,centralno,1,0,1,2,350000
Sarajevo - Stari Grad,48,2,2,struja,0,1,0,2,224000
Sarajevo - Centar,45,prizemlje,3,struja,0,1,0,2,210000
Sarajevo - Centar,74,3,3,plin,0,1,0,2,345000
Ilidža,82,1,2,centralno,1,1,1,0,382000
Sarajevo - Centar,75,4,3,centralno,1,0,0,0,349000
Ilidža,83,1,3,struja,1,1,1,0,385950
Sarajevo - Centar,63,prizemlje,2,centralno,0,1,0,2,290000
Sarajevo - Centar,80,1,3,centralno,0,1,0,1,367000
Sarajevo - Stari Grad,48,1,3,centralno,0,1,0,2,220000
Sarajevo - Novo Sarajevo,83,3,3,centralno,1,0,0,2,380000
Sarajevo - Novi Grad,40,3,2,centralno,1,0,1,2,183000
Trnovo,73,3,3,centralno,0,1,0,2,333000
Sarajevo - Centar,57,2,2,centralno,0,1,0,0,260000
Sarajevo - Novo Sarajevo,57,2,3,ostalo,0,1,0,2,260000
Sarajevo - Novo Sarajevo,63,15,2,centralno,1,1,0,2,287000
Sarajevo - Novo Sarajevo,55,13,2,centralno,0,0,0,2,250000
Sarajevo - Novo Sarajevo,55,13,2,centralno,1,1,0,2,250000
Ilidža,46,3,2,ostalo,1,1,1,2,209000
Sarajevo - Centar,63,4,3,centralno,1,1,1,1,286000
Sarajevo - Novo Sarajevo,54,2,3,centralno,1,1,0,0,245000
Ilidža,37.47,3,1,centralno,1,1,1,0,170000
Sarajevo - Centar,65,suteren,3,centralno,1,0,1,0,294800
Sarajevo - Novo Sarajevo,56,1,2,centralno,1,0,1,0,253880
Ilidža,37.5,6,0,centralno,1,0,1,0,170000
Sarajevo - Novo Sarajevo,64,3,2,plin,1,1,0,0,290000
Sarajevo - Centar,53,2,2,plin,0,0,0,1,240000
Sarajevo - Stari Grad,73,7,3,centralno,1,0,0,2,330000
Sarajevo - Novi Grad,52,3,2,centralno,0,1,0,2,235000
Sarajevo - Novi Grad,52,3,2,centralno,0,1,0,2,235000
Sarajevo - Centar,83,3,3,centralno,0,0,0,1,375000
Sarajevo - Centar,72,4,2,ostalo,0,1,0,2,325000
Sarajevo - Novo Sarajevo,73.21,6,3,centralno,1,0,0,1,330000
Sarajevo - Stari Grad,82,3,3,ostalo,0,0,0,0,369000
Sarajevo - Novo Sarajevo,80,9,3,centralno,1,0,0,1,360000
Sarajevo - Centar,72,prizemlje,3,centralno,0,1,0,2,324000
Sarajevo - Novi Grad,68,3,3,centralno,1,1,1,0,306000
Ilidža,68,3,3,centralno,1,0,1,0,306000
Ilidža,62,4,2,centralno,1,1,0,2,279000
Ilidža,62,4,1,centralno,1,1,1,2,279000
Sarajevo - Centar,60,1,2,plin,1,1,1,0,270000
Sarajevo - Novo Sarajevo,50,visoko,2,plin,0,1,0,0,225000
Sarajevo - Novi Grad,40,4,1,centralno,1,0,1,1,180000
Ilidža,62,4,2,centralno,1,1,0,2,278990
Sarajevo - Novo Sarajevo,88,2,četverosoban,plin,0,1,1,2,395900
Sarajevo - Centar,80,1,3,centralno,0,0,0,2,359000
Sarajevo - Novo Sarajevo,68,visoko,3,centralno,0,1,0,2,305000
Sarajevo - Novo Sarajevo,68,8,3,centralno,1,1,0,0,305000
Sarajevo - Centar,58,visoko,2,centralno,1,0,1,0,260000
Sarajevo - Centar,58,visoko,2,centralno,1,0,1,0,259900
Sarajevo - Stari Grad,52,4,2,struja,0,0,0,1,233000
Sarajevo - Centar,84,1,četverosoban,centralno,1,1,0,0,375000
Sarajevo - Novo Sarajevo,63,1,3,centralno,0,0,0,0,280000
Sarajevo - Centar,54,3,2,plin,1,0,0,2,240000
Sarajevo - Novo Sarajevo,45,18,2,centralno,1,1,0,0,200000
Sarajevo - Novo Sarajevo,45,18,2,centralno,1,1,0,0,200000
Sarajevo - Stari Grad,90,4,3,centralno,0,1,0,0,399999
Sarajevo - Novo Sarajevo,53,4,2,struja,0,1,1,2,235000
Sarajevo - Centar,57,4,3,struja,0,1,0,2,252000
Sarajevo - Novo Sarajevo,43,4,2,centralno,0,0,0,2,190000
Sarajevo - Centar,60,visoko,3,centralno,0,0,0,2,265000
Sarajevo - Stari Grad,60,4,četverosoban,centralno,0,1,0,1,265000
Sarajevo - Stari Grad,61,2,1,plin,0,1,0,0,269000
Sarajevo - Centar,84,4,3,centralno,0,1,0,2,370000
Ilidža,67,4,3,centralno,1,1,1,2,295000
Sarajevo - Centar,84,suteren,3,centralno,1,0,1,0,369600
Sarajevo - Novo Sarajevo,75,1,3,centralno,1,1,0,0,330000
Sarajevo - Stari Grad,83,3,3,centralno,0,1,0,1,365000
Sarajevo - Centar,66,3,3,centralno,1,1,1,1,290000
Ilidža,71.88,10,3,centralno,1,0,1,0,315374
Ilidža,57,7,2,centralno,0,1,0,2,250000
Ilidža,57,7,2,centralno,1,1,1,2,250000
Sarajevo - Stari Grad,73.1,7,3,centralno,1,0,0,2,320000
Sarajevo - Centar,52,1,2,centralno,0,1,0,2,227500
Sarajevo - Centar,48,2,2,centralno,0,1,0,0,210000
Sarajevo - Novo Sarajevo,57,3,3,centralno,1,1,0,0,249000
Sarajevo - Novi Grad,55,2,2,centralno,1,1,0,2,240000
Ilidža,58.4,8,3,centralno,1,0,1,2,254600
Sarajevo - Centar,48.19,2,2,centralno,0,0,0,1,210000
Sarajevo - Novi Grad,46,2,2,centralno,1,1,1,2,200000
Sarajevo - Novo Sarajevo,76,8,3,centralno,1,0,0,1,330000
Sarajevo - Stari Grad,68,1,3,centralno,0,1,0,2,295000
Sarajevo - Stari Grad,68,1,3,centralno,0,1,0,0,295000
Sarajevo - Centar,83,2,3,plin,0,1,0,2,360000
Sarajevo - Centar,90,5,3,plin,0,0,0,2,390000
Ilidža,48,6,2,centralno,1,0,0,2,208000
Ilidža,75.23,9,3,centralno,1,0,1,0,325671
Sarajevo - Novi Grad,71.75,9,3,ostalo,1,1,1,0,310606
Sarajevo - Novo Sarajevo,76,1,3,centralno,0,0,0,0,329000
Ilidža,71,4,2,ostalo,1,1,1,0,307043
Sarajevo - Stari Grad,74,4,3,centralno,0,0,0,0,320000
Sarajevo - Centar,80,5,četverosoban,centralno,1,1,0,0,345000
Sarajevo - Centar,65,5,3,centralno,0,1,0,1,280000
Sarajevo - Novo Sarajevo,65,5,3,centralno,1,0,0,2,280000
Sarajevo - Centar,36,prizemlje,1.5,struja,0,0,0,1,155000
Ilidža,69,1,3,centralno,1,0,1,2,296700
Sarajevo - Novi Grad,68,3,3,centralno,1,0,1,1,292400
Sarajevo - Novo Sarajevo,49,1,1,centralno,1,1,0,2,210000
Ilidža,71.74,8,3,ostalo,1,1,1,0,306366
Sarajevo - Novi Grad,47,4,1.5,centralno,1,1,1,1,200000
Sarajevo - Centar,80,2,četverosoban,centralno,0,0,0,0,340000
Ilidža,52,2,2,centralno,1,1,1,2,221000
Sarajevo - Centar,40,prizemlje,2,centralno,0,0,0,2,170000
Sarajevo - Centar,94,2,četverosoban,centralno,0,1,0,1,399000
Trnovo,51.83,suteren,3,struja,1,0,1,0,220000
Ilidža,59,4,2,centralno,1,1,0,2,250000
Ilidža,85,3,četverosoban,centralno,0,1,0,2,359900
Sarajevo - Centar,56,1,3,plin,0,0,0,2,237000
Sarajevo - Centar,69,1,3,centralno,0,0,0,2,292000
Sarajevo - Centar,90,2,četverosoban,plin,1,0,0,0,380000
Sarajevo - Novo Sarajevo,90,1,četverosoban,plin,0,1,0,0,379900
Sarajevo - Novo Sarajevo,70,11,3,centralno,1,0,0,0,295000
Sarajevo - Novo Sarajevo,70,6,2,centralno,1,0,0,0,295000
Sarajevo - Novo Sarajevo,70,5,četverosoban,plin,0,0,0,2,295000
Sarajevo - Novo Sarajevo,49,2,2,centralno,0,0,1,1,206000
Sarajevo - Centar,74,2,3,centralno,0,1,1,0,310926
Sarajevo - Novo Sarajevo,91.63,6,3,centralno,1,1,0,2,385000
Sarajevo - Centar,95,2,3,plin,0,0,0,0,399000
Sarajevo - Centar,71,1,3,centralno,0,0,0,0,298000
Sarajevo - Centar,56,1,3,plin,0,1,0,2,235000
Sarajevo - Novi Grad,62,11,2,centralno,1,1,0,2,260000
Sarajevo - Novo Sarajevo,57,4,2,centralno,0,1,0,1,239000
Sarajevo - Stari Grad,42,prizemlje,1.5,plin,0,0,0,2,176000
Sarajevo - Novo Sarajevo,62,6,3,struja,1,1,0,2,259000
Sarajevo - Centar,84,prizemlje,četverosoban,plin,0,1,0,2,350000
Ilidža,84,4,četverosoban,centralno,0,0,0,0,350000
Sarajevo - Novo Sarajevo,54,2,2,centralno,0,0,0,0,225000
Sarajevo - Novi Grad,95,8,četverosoban,centralno,1,1,0,1,395000
Sarajevo - Novo Sarajevo,71,11,3,centralno,1,0,0,1,295000
Sarajevo - Novo Sarajevo,71,11,3,centralno,1,1,0,0,295000
Ilidža,86.92,4,3,centralno,1,0,1,0,361021
Sarajevo - Novi Grad,49.37,4,2,centralno,1,0,1,1,205000
Sarajevo - Novi Grad,78,2,3,centralno,1,1,1,1,323000
Sarajevo - Novi Grad,78,6,3,centralno,1,0,0,2,322000
Sarajevo - Novo Sarajevo,68,7,3,plin,0,1,0,2,280000
Sarajevo - Novo Sarajevo,51,4,2,plin,0,1,0,2,210000
Ilidža,51,6,1,centralno,1,1,1,2,210000
Sarajevo - Novo Sarajevo,51,4,2,struja,0,1,0,2,210000
Sarajevo - Novi Grad,59,1,3,centralno,1,1,1,0,242760
Ilidža,90,1,3,struja,0,1,0,2,370000
Sarajevo - Novo Sarajevo,63,5,3,struja,1,1,0,0,259000
Sarajevo - Novo Sarajevo,63,6,3,struja,1,1,0,2,259000
Sarajevo - Novi Grad,56,4,2,centralno,0,1,0,2,230000
Sarajevo - Novi Grad,78,6,3,centralno,1,1,0,2,320000
Sarajevo - Novi Grad,39,1,2,centralno,0,1,0,1,160000
Sarajevo - Novo Sarajevo,50,8,2,centralno,1,0,0,0,205000
Sarajevo - Novi Grad,78,6,3,centralno,1,1,0,2,319000
Sarajevo - Novo Sarajevo,67,2,2,centralno,1,1,0,1,274000
Sarajevo - Novo Sarajevo,90,visoko,četverosoban,centralno,0,1,0,2,368000
Sarajevo - Novo Sarajevo,90,1,četverosoban,centralno,0,1,0,2,368000
Sarajevo - Centar,49,1,1,plin,0,1,0,0,200000
Sarajevo - Novi Grad,39,visoko,1,plin,0,1,0,2,159000
Sarajevo - Centar,67,2,3,centralno,0,1,0,1,273000
Sarajevo - Novo Sarajevo,54,4,2,centralno,0,1,0,2,220000
Sarajevo - Centar,86,5,2,struja,1,1,0,1,350000
Sarajevo - Stari Grad,86,5,2,struja,0,1,0,2,349999
Sarajevo - Centar,76,prizemlje,3,centralno,0,1,0,0,309000
Sarajevo - Novi Grad,64,5,3,struja,1,1,0,0,260000
Sarajevo - Novo Sarajevo,48,visoko,2,centralno,0,1,0,2,195000
Sarajevo - Centar,66,2,3,plin,0,1,0,0,268000
Sarajevo - Centar,62,1,3,centralno,0,1,1,0,251680
Sarajevo - Novo Sarajevo,53,2,2,plin,0,1,0,1,215000
Sarajevo - Novo Sarajevo,74,1,3,plin,1,0,0,2,300000
Sarajevo - Centar,79,visoko,3,struja,0,1,1,0,320000
Sarajevo - Centar,79,2,3,centralno,0,1,1,0,320000
Sarajevo - Novo Sarajevo,91,5,četverosoban,centralno,1,0,0,0,368000
Sarajevo - Centar,94,1,2,plin,0,1,0,2,380000
Sarajevo - Novo Sarajevo,52,4,2,centralno,0,0,0,1,210000
Sarajevo - Novo Sarajevo,52,7,2,centralno,1,1,0,2,210000
Sarajevo - Stari Grad,52,1,2,centralno,0,1,0,1,210000
Sarajevo - Novi Grad,57,5,2,centralno,0,0,0,2,230000
Ilidža,42,4,2,plin,0,0,1,0,169440
Ilidža,54,3,3,plin,1,0,1,0,217800
Sarajevo - Centar,62,5,2,struja,0,1,0,2,250000
Sarajevo - Novo Sarajevo,67,2,3,centralno,0,1,0,0,270000
Sarajevo - Novo Sarajevo,72,11,3,centralno,1,1,0,2,290000
Ilidža,67,1,četverosoban,plin,1,1,1,0,269560
Sarajevo - Novo Sarajevo,52,1,2,centralno,0,1,1,0,209000
Sarajevo - Novo Sarajevo,56,9,2,centralno,1,0,0,2,225000
Sarajevo - Centar,62,2,3,centralno,0,1,0,0,249000
Sarajevo - Stari Grad,66,4,3,plin,0,0,0,1,265000
Sarajevo - Centar,72,4,2,plin,0,0,0,1,289000
Sarajevo - Centar,72,2,3,plin,0,0,0,1,289000
Sarajevo - Centar,77,prizemlje,3,centralno,0,1,0,0,309000
Sarajevo - Stari Grad,86,2,3,plin,0,1,0,0,345000
Sarajevo - Centar,95,2,četverosoban,centralno,0,1,0,2,380000
Sarajevo - Centar,83,4,četverosoban,plin,0,1,0,2,332000
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,0,0,2,328000
Sarajevo - Novi Grad,80,6,četverosoban,centralno,1,1,0,2,320000
Sarajevo - Centar,80,visoko,četverosoban,plin,0,1,0,2,320000
Sarajevo - Novi Grad,80,6,četverosoban,centralno,1,1,0,2,320000
Sarajevo - Novi Grad,76,3,3,centralno,1,0,0,2,304000
Sarajevo - Centar,75,2,3,centralno,0,1,0,2,300000
Sarajevo - Centar,74,7,3,centralno,1,1,0,2,296000
Sarajevo - Novi Grad,60.69,1,2,plin,1,0,1,0,242760
Sarajevo - Centar,60,2,3,ostalo,0,0,0,1,240000
Sarajevo - Novi Grad,55,1,2,struja,1,1,0,0,220000
Ilidža,52,8,2,centralno,1,1,1,0,208000
Ilidža,50.98,5,2,plin,1,1,1,0,203920
Sarajevo - Stari Grad,50,prizemlje,četverosoban,struja,0,0,0,2,200000
Sarajevo - Centar,50,prizemlje,3,centralno,0,1,0,2,200000
Ilidža,45,1,2,centralno,1,1,1,0,180000
Sarajevo - Novo Sarajevo,45,7,1.5,centralno,1,1,0,2,180000
Sarajevo - Centar,40,suteren,1,centralno,0,0,0,0,160000
Ilidža,40,2,2,centralno,1,1,1,0,160000
Sarajevo - Centar,52.26,1,2,centralno,1,1,1,0,209000
Sarajevo - Novo Sarajevo,45,2,1.5,centralno,1,1,0,0,179899
Trnovo,38.54,suteren,2,struja,1,0,1,0,154000
Sarajevo - Centar,62.34,2,3,centralno,1,1,1,0,249000
Sarajevo - Centar,94.71,3,četverosoban,centralno,1,1,1,0,378000
Sarajevo - Centar,68,2,3,centralno,0,1,1,0,271120
Ilidža,54,1,3,plin,1,1,1,0,215240
Sarajevo - Centar,65,5,3,struja,0,1,0,2,259000
Sarajevo - Centar,65,5,3,struja,0,0,0,2,259000
Sarajevo - Centar,62.92,1,3,centralno,1,1,1,0,250000
